X,Y,m,b,+/-,r2,p
year,wind_10m,66.73743029,1654.194627,1,0.085384402,5.09E-11
year,specific_humidity,103.0864557,1757.270096,1,0.66406291,4.47E-40
year,LW_down,2.920638446,1290.239034,1,0.709782608,7.91E-20
year,SW_down,-3.910138167,2375.916064,-1,0.066920919,1.16E-12
year,rainfall,145.7066083,1796.769374,1,0.315939009,1.53E-31
year,snowfall,-134.2890531,2094.850571,-1,0.110711873,2.30E-35
year,sosaline,-22.85063735,2758.44039,-1,0.003510438,0.192078108
year,sst,34.0150395,-7347.219091,1,0.882497291,7.45E-16
year,t2m,11.98672354,-1176.828621,1,0.747656935,0.000344815
year,surface_pressure,-0.110088968,2106.518308,-1,0.000104689,0.226229826
year,sea_ice_extent,-1.64E-05,1993.256261,-1,0.899448618,6.98E-104
wind_10m,year,0.001279408,2.60220756,1,0.085384402,0.062802175
wind_10m,specific_humidity,0.19469471,4.703504477,1,0.123559098,1.75E-24
wind_10m,LW_down,0.00564073,3.791215566,1,0.138102263,4.07E-08
wind_10m,SW_down,-0.010849696,6.206343535,-1,0.026876533,4.55E-07
wind_10m,rainfall,0.750499912,4.120038213,1,0.437226487,6.81E-23
wind_10m,snowfall,0.976979514,4.458134921,1,0.305664012,8.34E-26
wind_10m,sosaline,0.033773718,4.035896712,1,0.000400021,0.66020717
wind_10m,sst,0.033388432,-4.014452755,1,0.044353092,0.564566198
wind_10m,t2m,0.023790828,-1.143176219,1,0.153631726,0.636521976
wind_10m,surface_pressure,-0.028340345,32.96639619,-1,0.361894927,2.73E-06
wind_10m,sea_ice_extent,-2.35E-08,5.151613371,-1,0.095750949,4.65E-77
specific_humidity,year,0.006441806,-10.53387483,1,0.66406291,1.85E-08
specific_humidity,wind_10m,0.63462997,-0.934048599,1,0.123559098,0.513063285
specific_humidity,LW_down,0.026455169,-4.075360371,1,0.931933285,4.65E-17
specific_humidity,SW_down,-0.053437963,7.498036098,-1,0.200019101,6.62E-05
specific_humidity,rainfall,1.385094146,0.422412507,1,0.456874935,0.220847244
specific_humidity,snowfall,-1.192437768,3.1956316,-1,0.139694213,2.68E-11
specific_humidity,sosaline,-0.242330867,10.39923682,-1,0.00631795,0.529711012
specific_humidity,sst,0.25453391,-67.59376891,1,0.790781883,4.93E-14
specific_humidity,t2m,0.10440396,-25.31693202,1,0.9076728,6.12E-20
specific_humidity,surface_pressure,-0.004417795,6.674774445,-1,0.002697845,0.62435889
specific_humidity,sea_ice_extent,-1.26E-07,2.299952878,-1,0.842612512,1.98E-68
LW_down,year,0.2430231,-243.1795614,1,0.709782608,2.28E-05
LW_down,wind_10m,24.48304811,116.191501,1,0.138102263,0.028981018
LW_down,specific_humidity,35.22688867,160.0685876,1,0.931933285,2.65E-34
LW_down,SW_down,-2.07896062,443.1684483,-1,0.227352879,7.46E-09
LW_down,rainfall,50.60483333,172.4397719,1,0.457993161,1.61E-16
LW_down,snowfall,-36.97011217,269.0276566,-1,0.100842767,1.88E-22
LW_down,sosaline,-11.22453872,615.7949878,-1,0.010179629,0.308940725
LW_down,sst,9.397453372,-2339.472243,1,0.809509636,5.89E-14
LW_down,t2m,3.967828365,-808.5907103,1,0.984549114,8.83E-32
LW_down,surface_pressure,0.132066295,112.9198399,1,0.001810615,0.820264789
LW_down,sea_ice_extent,-4.69E-06,241.0059898,-1,0.879941106,4.54E-88
SW_down,year,-0.01711472,130.7262042,-1,0.066920919,2.14E-07
SW_down,wind_10m,-2.477169215,109.3024114,-1,0.026876533,1.18E-10
SW_down,specific_humidity,-3.743015075,105.2813678,-1,0.200019101,2.01E-31
SW_down,LW_down,-0.109358915,123.0422037,-1,0.227352879,5.00E-18
SW_down,rainfall,-7.78056181,107.2946153,-1,0.205820665,1.04E-28
SW_down,snowfall,3.620789848,93.92456918,1,0.018388315,2.57E-28
SW_down,sosaline,7.00515008,-136.4468412,1,0.075374061,0.309140126
SW_down,sst,-0.686747349,285.2080272,-1,0.082184083,0.008232506
SW_down,t2m,-0.383369841,198.0785645,-1,0.174726826,2.49E-06
SW_down,surface_pressure,0.020081075,76.81906624,1,0.000795808,0.501715824
SW_down,sea_ice_extent,4.70E-07,96.67238056,1,0.168024993,2.54E-81
rainfall,year,0.002168323,-2.948894964,1,0.315939009,0.007010345
rainfall,wind_10m,0.58258033,-1.621093963,1,0.437226487,0.00569946
rainfall,specific_humidity,0.329851178,0.612622742,1,0.456874935,6.56E-05
rainfall,LW_down,0.009050384,-0.810238284,1,0.457993161,0.043197272
rainfall,SW_down,-0.026453188,3.937824987,-1,0.205820665,2.19E-05
rainfall,snowfall,0.517469401,1.013221545,1,0.110468275,7.25E-07
rainfall,sosaline,-0.006414192,1.597814667,-1,1.86E-05,0.843271109
rainfall,sst,0.075063585,-19.23941306,1,0.288792074,0.000753573
rainfall,t2m,0.035261278,-7.956347792,1,0.43476316,4.52E-05
rainfall,surface_pressure,-0.02391144,24.84618899,-1,0.331878049,4.58E-05
rainfall,sea_ice_extent,-4.22E-08,1.371032387,-1,0.398615231,1.13E-60
snowfall,year,-0.00082443,2.365109013,-1,0.110711873,0.003425071
snowfall,wind_10m,0.312866347,-0.89662375,1,0.305664012,0.028839844
snowfall,specific_humidity,-0.117150107,0.991626299,-1,0.139694213,6.24E-11
snowfall,LW_down,-0.002727684,1.378955414,-1,0.100842767,0.000113705
snowfall,SW_down,0.005078537,0.227293665,1,0.018388315,0.697833773
snowfall,rainfall,0.213477888,0.421926532,1,0.110468275,0.003639962
snowfall,sosaline,0.155488558,-4.453574391,1,0.026475771,0.386785764
snowfall,sst,-0.038553882,11.31026396,-1,0.184669283,0.003331187
snowfall,t2m,-0.01049137,3.496690143,-1,0.093293804,0.017355724
snowfall,surface_pressure,-0.016612945,17.01795939,-1,0.388322116,8.90E-06
snowfall,sea_ice_extent,1.66E-08,0.722771744,1,0.148842003,1.48E-54
sosaline,year,-0.000153625,33.56387785,-1,0.003510438,1.15E-32
sosaline,wind_10m,0.011844153,33.19575226,1,0.000400021,4.67E-41
sosaline,specific_humidity,-0.026071586,33.31786692,-1,0.00631795,6.88E-64
sosaline,LW_down,-0.000906908,33.4767847,-1,0.010179629,8.17E-47
sosaline,SW_down,0.010759807,32.21829471,1,0.075374061,1.02E-37
sosaline,rainfall,-0.002897757,33.26086942,-1,1.86E-05,1.23E-60
sosaline,snowfall,0.170274721,33.13468768,1,0.026475771,2.49E-64
sosaline,sst,-0.004849696,34.58932388,-1,0.002668307,4.95E-10
sosaline,t2m,-0.003532348,34.19258978,-1,0.009657474,2.17E-23
sosaline,surface_pressure,-0.00280051,36.00469228,-1,0.010076767,7.26E-10
sosaline,sea_ice_extent,4.15E-09,33.25818296,1,0.008548181,1.01E-115
sst,year,0.025944327,222.9028208,1,0.882497291,2.22E-42
sst,wind_10m,1.328396951,267.8992187,1,0.044353092,6.80E-37
sst,specific_humidity,3.106784017,267.4824537,1,0.790781883,4.46E-72
sst,LW_down,0.086141384,253.8630906,1,0.809509636,8.75E-55
sst,SW_down,-0.119671497,286.3035418,-1,0.082184083,7.88E-35
sst,rainfall,3.847299263,269.4259761,1,0.288792074,6.24E-59
sst,snowfall,-4.789901186,278.1892463,-1,0.184669283,7.23E-62
sst,sosaline,-0.550200811,293.0505073,-1,0.002668307,9.51E-06
sst,t2m,0.348041898,182.5549358,1,0.826405165,3.47E-26
sst,surface_pressure,0.026980747,248.27929,1,0.008244197,5.68E-06
sst,sea_ice_extent,-4.59E-07,274.6061896,-1,0.918784075,3.63E-132
t2m,year,0.062373753,140.2498548,1,0.747656935,1.99E-14
t2m,wind_10m,6.457603234,231.5883509,1,0.153631726,2.10E-20
t2m,specific_humidity,8.693854165,244.559541,1,0.9076728,1.66E-61
t2m,LW_down,0.248132989,204.7310286,1,0.984549114,4.08E-56
t2m,SW_down,-0.455765705,308.895417,-1,0.174726826,1.05E-21
t2m,rainfall,12.32976179,247.83326,1,0.43476316,1.21E-43
t2m,snowfall,-8.892433107,271.2840005,-1,0.093293804,9.06E-45
t2m,sosaline,-2.734010015,355.8283819,-1,0.009657474,0.022315181
t2m,sst,2.374441613,-387.4801048,1,0.826405165,1.18E-09
t2m,surface_pressure,0.028909832,236.5377327,1,0.0013874,0.062911059
t2m,sea_ice_extent,-1.18E-06,264.5276585,-1,0.889398871,3.71E-113
surface_pressure,year,-0.000950945,983.0914912,-1,0.000104689,2.12E-29
surface_pressure,wind_10m,-12.76960223,1047.070738,-1,0.361894927,1.22E-42
surface_pressure,specific_humidity,-0.610676728,982.6200551,-1,0.002697845,1.22E-60
