X,Y,m,b,+/-,r2,p
LW_down,t2m,3.967828365,-808.5907103,1,0.984549114,8.83e-32
t2m,LW_down,0.248132989,204.7310286,1,0.984549114,4.08e-56
specific_humidity,LW_down,0.026455169,-4.075360371,1,0.931933285,4.65e-17
LW_down,specific_humidity,35.22688867,160.0685876,1,0.931933285,2.65e-34
sst,sea_ice_extent,-4.59e-07,274.6061896,-1,0.918784075,3.63e-132
sea_ice_extent,sst,-2003333.351,550101818.6,-1,0.918784075,2.62e-22
specific_humidity,t2m,0.10440396,-25.31693202,1,0.9076728,6.12e-20
t2m,specific_humidity,8.693854165,244.559541,1,0.9076728,1.66e-61
year,sea_ice_extent,-1.64e-05,1993.256261,-1,0.899448618,6.98e-104
sea_ice_extent,year,-54741.96491,109082674.0,-1,0.899448618,1.66e-20
t2m,sea_ice_extent,-1.18e-06,264.5276585,-1,0.889398871,3.71e-113
sea_ice_extent,t2m,-754622.5782,199583246.1,-1,0.889398871,9.73e-20
year,sst,34.0150395,-7347.219091,1,0.882497291,7.45e-16
sst,year,0.025944327,222.9028208,1,0.882497291,2.22e-42
LW_down,sea_ice_extent,-4.69e-06,241.0059898,-1,0.879941106,4.54e-88
sea_ice_extent,LW_down,-187704.2588,45199534.74,-1,0.879941106,5.59e-19
specific_humidity,sea_ice_extent,-1.26e-07,2.299952878,-1,0.842612512,1.98e-68
sea_ice_extent,specific_humidity,-6702597.657,15365429.68,-1,0.842612512,1.53e-16
sst,t2m,0.348041898,182.5549358,1,0.826405165,3.47e-26
t2m,sst,2.374441613,-387.4801048,1,0.826405165,1.18e-09
LW_down,sst,9.397453372,-2339.472243,1,0.809509636,5.89e-14
sst,LW_down,0.086141384,253.8630906,1,0.809509636,8.75e-55
specific_humidity,sst,0.25453391,-67.59376891,1,0.790781883,4.93e-14
sst,specific_humidity,3.106784017,267.4824537,1,0.790781883,4.46e-72
year,t2m,11.98672354,-1176.828621,1,0.747656935,0.000344815
t2m,year,0.062373753,140.2498548,1,0.747656935,1.99e-14
year,LW_down,2.920638446,1290.239034,1,0.709782608,7.91e-20
LW_down,year,0.2430231,-243.1795614,1,0.709782608,2.28e-05
year,specific_humidity,103.0864557,1757.270096,1,0.66406291,4.47e-40
specific_humidity,year,0.006441806,-10.53387483,1,0.66406291,1.85e-08
LW_down,rainfall,50.60483333,172.4397719,1,0.457993161,1.61e-16
rainfall,LW_down,0.009050384,-0.810238284,1,0.457993161,0.043197272
specific_humidity,rainfall,1.385094146,0.422412507,1,0.456874935,0.220847244
rainfall,specific_humidity,0.329851178,0.612622742,1,0.456874935,6.56e-05
wind_10m,rainfall,0.750499912,4.120038213,1,0.437226487,6.81e-23
rainfall,wind_10m,0.58258033,-1.621093963,1,0.437226487,0.00569946
rainfall,t2m,0.035261278,-7.956347792,1,0.43476316,4.52e-05
t2m,rainfall,12.32976179,247.83326,1,0.43476316,1.21e-43
rainfall,sea_ice_extent,-4.22e-08,1.371032387,-1,0.398615231,1.13e-60
sea_ice_extent,rainfall,-9446844.582,12760002.24,-1,0.398615231,1.85e-05
snowfall,surface_pressure,-0.016612945,17.01795939,-1,0.388322116,8.9e-06
surface_pressure,snowfall,-23.37466996,997.9620347,-1,0.388322116,2.72e-65
wind_10m,surface_pressure,-0.028340345,32.96639619,-1,0.361894927,2.73e-06
surface_pressure,wind_10m,-12.76960223,1047.070738,-1,0.361894927,1.22e-42
rainfall,surface_pressure,-0.02391144,24.84618899,-1,0.331878049,4.58e-05
surface_pressure,rainfall,-13.87946736,1000.407133,-1,0.331878049,4.55e-61
year,rainfall,145.7066083,1796.769374,1,0.315939009,1.53e-31
rainfall,year,0.002168323,-2.948894964,1,0.315939009,0.007010345
wind_10m,snowfall,0.976979514,4.458134921,1,0.305664012,8.34e-26
snowfall,wind_10m,0.312866347,-0.89662375,1,0.305664012,0.028839844
rainfall,sst,0.075063585,-19.23941306,1,0.288792074,0.000753573
sst,rainfall,3.847299263,269.4259761,1,0.288792074,6.24e-59
LW_down,SW_down,-2.07896062,443.1684483,-1,0.227352879,7.46e-09
SW_down,LW_down,-0.109358915,123.0422037,-1,0.227352879,5e-18
SW_down,rainfall,-7.78056181,107.2946153,-1,0.205820665,1.04e-28
rainfall,SW_down,-0.026453188,3.937824987,-1,0.205820665,2.19e-05
specific_humidity,SW_down,-0.053437963,7.498036098,-1,0.200019101,6.62e-05
SW_down,specific_humidity,-3.743015075,105.2813678,-1,0.200019101,2.01e-31
snowfall,sst,-0.038553882,11.31026396,-1,0.184669283,0.003331187
sst,snowfall,-4.789901186,278.1892463,-1,0.184669283,7.23e-62
SW_down,t2m,-0.383369841,198.0785645,-1,0.174726826,2.49e-06
t2m,SW_down,-0.455765705,308.895417,-1,0.174726826,1.05e-21
SW_down,sea_ice_extent,4.7e-07,96.67238056,1,0.168024993,2.54e-81
sea_ice_extent,SW_down,357627.0005,-34838172.36,1,0.168024993,0.00807494
wind_10m,t2m,0.023790828,-1.143176219,1,0.153631726,0.636521976
t2m,wind_10m,6.457603234,231.5883509,1,0.153631726,2.1e-20
snowfall,sea_ice_extent,1.66e-08,0.722771744,1,0.148842003,1.48e-54
sea_ice_extent,snowfall,8987490.96,-6767545.493,1,0.148842003,0.010211662
specific_humidity,snowfall,-1.192437768,3.1956316,-1,0.139694213,2.68e-11
snowfall,specific_humidity,-0.117150107,0.991626299,-1,0.139694213,6.24e-11
wind_10m,LW_down,0.00564073,3.791215566,1,0.138102263,4.07e-08
LW_down,wind_10m,24.48304811,116.191501,1,0.138102263,0.028981018
wind_10m,specific_humidity,0.19469471,4.703504477,1,0.123559098,1.75e-24
specific_humidity,wind_10m,0.63462997,-0.934048599,1,0.123559098,0.513063285
year,snowfall,-134.2890531,2094.850571,-1,0.110711873,2.3e-35
snowfall,year,-0.00082443,2.365109013,-1,0.110711873,0.003425071
rainfall,snowfall,0.517469401,1.013221545,1,0.110468275,7.25e-07
snowfall,rainfall,0.213477888,0.421926532,1,0.110468275,0.003639962
LW_down,snowfall,-36.97011217,269.0276566,-1,0.100842767,1.88e-22
snowfall,LW_down,-0.002727684,1.378955414,-1,0.100842767,0.000113705
wind_10m,sea_ice_extent,-2.35e-08,5.151613371,-1,0.095750949,4.65e-77
sea_ice_extent,wind_10m,-4079284.133,20726310.07,-1,0.095750949,0.055515
snowfall,t2m,-0.01049137,3.496690143,-1,0.093293804,0.017355724
t2m,snowfall,-8.892433107,271.2840005,-1,0.093293804,9.06e-45
year,wind_10m,66.73743029,1654.194627,1,0.085384402,5.09e-11
wind_10m,year,0.001279408,2.60220756,1,0.085384402,0.062802175
SW_down,sst,-0.686747349,285.2080272,-1,0.082184083,0.008232506
sst,SW_down,-0.119671497,286.3035418,-1,0.082184083,7.88e-35
SW_down,sosaline,7.00515008,-136.4468412,1,0.075374061,0.309140126
sosaline,SW_down,0.010759807,32.21829471,1,0.075374061,1.02e-37
year,SW_down,-3.910138167,2375.916064,-1,0.066920919,1.16e-12
SW_down,year,-0.01711472,130.7262042,-1,0.066920919,2.14e-07
wind_10m,sst,0.033388432,-4.014452755,1,0.044353092,0.564566198
sst,wind_10m,1.328396951,267.8992187,1,0.044353092,6.8e-37
wind_10m,SW_down,-0.010849696,6.206343535,-1,0.026876533,4.55e-07
